('21-03-08 00:39:49.14036', 145, 133, 142, 88, 122, 71, 48, 72)
('21-03-08 00:39:49.16373', 145, 127, 137, 95, 118, 72, 46, 78)
('21-03-08 00:39:49.17847', 118, 119, 122, 97, 111, 74, 42, 73)
('21-03-08 00:39:49.19996', 106, 98, 105, 94, 109, 72, 39, 66)
('21-03-08 00:39:49.22259', 91, 84, 71, 89, 84, 72, 40, 65)
('21-03-08 00:39:49.23765', 70, 70, 55, 77, 79, 60, 43, 55)
('21-03-08 00:39:49.26014', 62, 46, 46, 69, 75, 53, 45, 39)
('21-03-08 00:39:49.28286', 52, 44, 48, 61, 73, 52, 51, 40)
('21-03-08 00:39:49.29816', 49, 43, 40, 58, 71, 52, 54, 40)
('21-03-08 00:39:49.32010', 60, 45, 42, 58, 68, 48, 55, 44)
('21-03-08 00:39:49.34239', 66, 46, 43, 53, 71, 51, 53, 48)
('21-03-08 00:39:49.35765', 67, 45, 46, 54, 76, 51, 51, 45)
('21-03-08 00:39:49.38049', 76, 46, 46, 62, 76, 49, 49, 45)
('21-03-08 00:39:49.40270', 81, 48, 47, 61, 76, 50, 48, 51)
('21-03-08 00:39:49.41754', 73, 57, 45, 61, 74, 46, 45, 46)
('21-03-08 00:39:49.44009', 69, 57, 50, 58, 73, 47, 46, 51)
('21-03-08 00:39:49.46316', 72, 65, 50, 60, 65, 52, 47, 55)
('21-03-08 00:39:49.47747', 67, 68, 49, 57, 70, 54, 46, 54)
('21-03-08 00:39:49.50003', 66, 77, 52, 62, 72, 57, 47, 48)
('21-03-08 00:39:49.52271', 66, 75, 53, 64, 87, 60, 48, 51)
('21-03-08 00:39:49.53832', 63, 78, 58, 77, 106, 58, 48, 51)
('21-03-08 00:39:49.56055', 69, 83, 64, 98, 117, 60, 52, 54)
('21-03-08 00:39:49.58357', 91, 89, 72, 105, 117, 67, 54, 54)
('21-03-08 00:39:49.59780', 102, 85, 77, 124, 121, 81, 61, 56)
('21-03-08 00:39:49.62097', 108, 91, 86, 132, 126, 82, 67, 55)
('21-03-08 00:39:49.64293', 116, 96, 83, 128, 115, 88, 64, 49)
('21-03-08 00:39:49.65811', 116, 89, 80, 118, 106, 86, 65, 48)
('21-03-08 00:39:49.68138', 97, 82, 73, 110, 103, 81, 62, 45)
('21-03-08 00:39:49.70289', 90, 81, 66, 89, 97, 68, 55, 45)
('21-03-08 00:39:49.71924', 85, 75, 61, 73, 91, 67, 51, 43)
('21-03-08 00:39:49.74931', 82, 66, 62, 70, 90, 66, 52, 48)
('21-03-08 00:39:49.76269', 81, 66, 58, 62, 90, 61, 43, 49)
