('21-03-08 00:42:35.36948', 70, 118, 145, 129, 121, 62, 86, 58)
('21-03-08 00:42:35.38525', 56, 98, 124, 105, 94, 54, 71, 54)
('21-03-08 00:42:35.40743', 48, 79, 98, 91, 91, 46, 64, 46)
('21-03-08 00:42:35.42962', 52, 69, 76, 78, 80, 46, 45, 46)
('21-03-08 00:42:35.44450', 69, 85, 68, 65, 78, 44, 41, 54)
('21-03-08 00:42:35.46653', 79, 81, 48, 50, 60, 45, 39, 64)
('21-03-08 00:42:35.48927', 81, 81, 46, 51, 62, 51, 38, 68)
('21-03-08 00:42:35.50388', 87, 83, 45, 56, 65, 52, 41, 70)
('21-03-08 00:42:35.52857', 85, 83, 44, 57, 64, 51, 42, 71)
('21-03-08 00:42:35.54917', 69, 56, 43, 57, 65, 52, 41, 65)
('21-03-08 00:42:35.56551', 57, 53, 43, 58, 71, 50, 45, 57)
('21-03-08 00:42:35.58671', 54, 55, 41, 60, 71, 43, 46, 54)
('21-03-08 00:42:35.60957', 45, 54, 45, 57, 70, 49, 42, 54)
('21-03-08 00:42:35.63212', 49, 59, 47, 56, 74, 51, 43, 55)
('21-03-08 00:42:35.64922', 48, 66, 55, 57, 73, 58, 44, 63)
('21-03-08 00:42:35.66927', 58, 66, 59, 66, 75, 64, 39, 73)
('21-03-08 00:42:35.69260', 67, 73, 58, 62, 76, 71, 39, 72)
('21-03-08 00:42:35.70687', 96, 76, 58, 59, 70, 80, 41, 73)
('21-03-08 00:42:35.73019', 121, 87, 63, 60, 71, 94, 42, 71)
('21-03-08 00:42:35.75181', 132, 96, 55, 57, 69, 93, 48, 63)
('21-03-08 00:42:35.77430', 129, 107, 52, 47, 68, 94, 49, 50)
('21-03-08 00:42:35.78929', 130, 108, 56, 50, 77, 97, 47, 53)
('21-03-08 00:42:35.82196', 122, 109, 59, 51, 77, 86, 45, 50)
('21-03-08 00:42:35.82696', 98, 107, 53, 53, 75, 75, 45, 51)
('21-03-08 00:42:35.84929', 87, 96, 56, 52, 80, 71, 37, 49)
('21-03-08 00:42:35.87284', 88, 84, 56, 52, 71, 63, 37, 48)
('21-03-08 00:42:35.88767', 85, 75, 54, 51, 60, 49, 37, 46)
('21-03-08 00:42:35.91349', 74, 69, 55, 47, 61, 50, 40, 47)
('21-03-08 00:42:35.93200', 73, 57, 55, 48, 63, 42, 38, 50)
('21-03-08 00:42:35.94640', 72, 57, 55, 57, 71, 46, 40, 50)
('21-03-08 00:42:35.96931', 71, 62, 65, 58, 73, 55, 40, 49)
('21-03-08 00:42:35.99344', 67, 57, 66, 58, 71, 60, 43, 47)
('21-03-08 00:42:36.00663', 66, 57, 60, 62, 77, 62, 41, 50)
