('21-03-08 14:01:59.60210', 37, 59, 46, 25, 36, 47, 34, 76)
('21-03-08 14:01:59.61973', 47, 58, 48, 24, 39, 46, 40, 85)
('21-03-08 14:01:59.64199', 48, 60, 67, 26, 40, 47, 58, 91)
('21-03-08 14:01:59.66132', 52, 64, 68, 27, 42, 45, 73, 108)
('21-03-08 14:01:59.68155', 51, 62, 70, 27, 45, 42, 81, 117)
('21-03-08 14:01:59.70279', 55, 64, 76, 31, 45, 37, 98, 103)
('21-03-08 14:01:59.72141', 49, 65, 78, 33, 41, 37, 97, 107)
('21-03-08 14:01:59.74398', 49, 64, 67, 33, 39, 40, 90, 102)
('21-03-08 14:01:59.76188', 48, 62, 73, 35, 39, 42, 85, 88)
('21-03-08 14:01:59.78134', 54, 67, 79, 35, 42, 47, 81, 80)
('21-03-08 14:01:59.80730', 63, 87, 77, 35, 59, 58, 66, 78)
('21-03-08 14:01:59.82517', 64, 85, 75, 36, 69, 58, 70, 63)
('21-03-08 14:01:59.84173', 70, 153, 113, 35, 79, 55, 67, 64)
('21-03-08 14:01:59.86407', 86, 254, 114, 40, 80, 57, 60, 59)
('21-03-08 14:01:59.88049', 98, 266, 120, 39, 83, 52, 57, 54)
('21-03-08 14:01:59.90924', 100, 262, 123, 37, 113, 46, 47, 59)
('21-03-08 14:01:59.92370', 101, 266, 122, 35, 109, 45, 42, 62)
('21-03-08 14:01:59.94285', 115, 243, 85, 37, 105, 45, 44, 90)
('21-03-08 14:01:59.96135', 125, 255, 78, 31, 104, 41, 45, 91)
('21-03-08 14:01:59.98451', 117, 250, 57, 32, 100, 41, 42, 91)
('21-03-08 14:02:00.00070', 109, 256, 47, 32, 49, 39, 40, 83)
('21-03-08 14:02:00.02816', 107, 256, 49, 31, 46, 38, 36, 79)
('21-03-08 14:02:00.04376', 89, 250, 54, 31, 42, 36, 31, 56)
('21-03-08 14:02:00.06077', 55, 126, 56, 31, 39, 38, 36, 57)
('21-03-08 14:02:00.08336', 46, 110, 54, 32, 36, 36, 39, 55)
('21-03-08 14:02:00.11250', 41, 84, 52, 34, 36, 33, 38, 56)
('21-03-08 14:02:00.12746', 39, 70, 46, 37, 36, 38, 37, 57)
('21-03-08 14:02:00.14132', 34, 55, 39, 38, 33, 38, 37, 42)
('21-03-08 14:02:00.16363', 25, 43, 37, 40, 44, 42, 30, 35)
('21-03-08 14:02:00.18020', 24, 40, 37, 42, 46, 41, 27, 34)
('21-03-08 14:02:00.20266', 25, 32, 40, 42, 43, 38, 28, 31)
('21-03-08 14:02:00.22401', 26, 27, 45, 42, 55, 40, 27, 28)
('21-03-08 14:02:00.24052', 26, 28, 45, 47, 63, 39, 27, 28)
('21-03-08 14:02:00.26115', 24, 25, 41, 50, 56, 38, 31, 29)
('21-03-08 14:02:00.29151', 23, 25, 40, 49, 58, 40, 29, 28)
('21-03-08 14:02:00.30101', 23, 24, 38, 50, 69, 53, 33, 27)
('21-03-08 14:02:00.32120', 22, 23, 32, 48, 61, 49, 33, 25)
