('21-03-08 00:33:28.41021', 58, 53, 47, 63, 100, 54, 51, '5')
('21-03-08 00:33:28.42557', 61, 59, 50, 65, 102, 43, 54, '5')
('21-03-08 00:33:28.44093', 52, 58, 49, 61, 102, 40, 54, '5')
('21-03-08 00:33:28.46300', 56, 63, 48, 59, 101, 43, 54, '5')
('21-03-08 00:33:28.48548', 54, 62, 46, 54, 98, 43, 57, '5')
('21-03-08 00:33:28.49933', 55, 64, 48, 54, 75, 49, 53, '5')
('21-03-08 00:33:28.52444', 53, 58, 49, 55, 77, 56, 52, '5')
('21-03-08 00:33:28.54553', 54, 60, 48, 57, 78, 60, 50, '5')
('21-03-08 00:33:28.55940', 54, 60, 48, 69, 83, 60, 50, '5')
('21-03-08 00:33:28.58395', 56, 59, 49, 70, 82, 59, 49, '5')
('21-03-08 00:33:28.60565', 53, 56, 47, 68, 84, 59, 53, '5')
('21-03-08 00:33:28.62029', 52, 54, 43, 69, 75, 52, 49, '5')
('21-03-08 00:33:28.64295', 59, 51, 48, 68, 75, 53, 53, '5')
('21-03-08 00:33:28.66554', 60, 46, 48, 57, 69, 54, 53, '5')
('21-03-08 00:33:28.68014', 57, 50, 49, 58, 68, 54, 50, '6')
('21-03-08 00:33:28.70307', 62, 50, 48, 68, 76, 55, 51, '6')
('21-03-08 00:33:28.72689', 61, 52, 51, 63, 78, 59, 47, '7')
('21-03-08 00:33:28.75007', 63, 54, 45, 61, 76, 54, 46, '6')
('21-03-08 00:33:28.76255', 58, 56, 49, 62, 71, 54, 48, '6')
('21-03-08 00:33:28.78589', 63, 58, 48, 62, 77, 51, 55, '6')
('21-03-08 00:33:28.80806', 59, 58, 49, 51, 68, 45, 50, '5')
('21-03-08 00:33:28.82493', 61, 55, 50, 56, 66, 42, 56, '4')
('21-03-08 00:33:28.84560', 53, 56, 55, 57, 81, 46, 60, '4')
('21-03-08 00:33:28.86782', 50, 55, 50, 56, 87, 46, 59, '5')
('21-03-08 00:33:28.88300', 44, 52, 58, 59, 91, 54, 55, '5')
('21-03-08 00:33:28.90523', 46, 51, 58, 57, 93, 55, 56, '5')
('21-03-08 00:33:28.92860', 43, 56, 62, 58, 98, 58, 55, '6')
('21-03-08 00:33:28.94361', 54, 54, 62, 59, 91, 53, 54, '5')
('21-03-08 00:33:28.96529', 57, 50, 64, 61, 91, 58, 54, '5')
('21-03-08 00:33:28.98914', 59, 53, 61, 56, 85, 52, 52, '5')
('21-03-08 00:33:29.00346', 63, 55, 61, 61, 84, 57, 60, '5')
('21-03-08 00:33:29.02708', 64, 52, 56, 65, 84, 58, 58, '4')
('21-03-08 00:33:29.04802', 58, 50, 54, 67, 85, 65, 58, '4')
('21-03-08 00:33:29.06270', 57, 54, 50, 66, 84, 59, 58, '5')
('21-03-08 00:33:29.08622', 58, 51, 45, 65, 80, 62, 60, '5')
('21-03-08 00:33:29.10933', 57, 53, 43, 70, 77, 61, 53, '6')
('21-03-08 00:33:29.12327', 58, 51, 40, 67, 79, 55, 54, '6')
('21-03-08 00:33:29.14847', 56, 52, 36, 64, 74, 52, 53, '6')
('21-03-08 00:33:29.16774', 56, 51, 40, 66, 71, 53, 56, '6')
('21-03-08 00:33:29.18261', 54, 51, 40, 70, 78, 58, 54, '6')
('21-03-08 00:33:29.20529', 56, 48, 43, 61, 75, 57, 55, '5')
('21-03-08 00:33:29.22853', 56, 51, 49, 58, 66, 58, 56, '5')
('21-03-08 00:33:29.24237', 56, 50, 56, 57, 67, 56, 53, '6')
('21-03-08 00:33:29.26545', 55, 56, 57, 55, 70, 56, 51, '5')
('21-03-08 00:33:29.28810', 63, 62, 62, 52, 67, 49, 51, '5')
('21-03-08 00:33:29.30221', 59, 59, 59, 53, 73, 46, 53, '5')
('21-03-08 00:33:29.32528', 62, 58, 58, 53, 72, 47, 53, '5')
('21-03-08 00:33:29.34888', 63, 59, 55, 54, 68, 47, 53, '5')
('21-03-08 00:33:29.36434', 63, 56, 57, 53, 67, 50, 53, '6')
('21-03-08 00:33:29.38642', 54, 54, 54, 55, 69, 50, 53, '6')
('21-03-08 00:33:29.40821', 53, 57, 57, 62, 73, 53, 51, '7')
('21-03-08 00:33:29.42296', 52, 63, 55, 64, 76, 53, 51, '6')
('21-03-08 00:33:29.44533', 50, 63, 59, 63, 75, 54, 54, '6')
('21-03-08 00:33:29.46817', 52, 63, 55, 63, 75, 54, 52, '6')
('21-03-08 00:33:29.48193', 52, 61, 54, 62, 71, 54, 55, '6')
('21-03-08 00:33:29.50700', 60, 63, 56, 59, 64, 54, 55, '5')
('21-03-08 00:33:29.52789', 52, 60, 56, 53, 64, 57, 55, '5')
('21-03-08 00:33:29.54217', 55, 60, 54, 65, 78, 58, 60, '5')
('21-03-08 00:33:29.56594', 56, 61, 57, 74, 89, 60, 60, '5')
('21-03-08 00:33:29.58893', 59, 60, 57, 74, 92, 58, 55, '5')
('21-03-08 00:33:29.60265', 58, 59, 55, 71, 100, 58, 53, '5')
('21-03-08 00:33:29.62569', 62, 53, 55, 71, 98, 61, 52, '5')
('21-03-08 00:33:29.64832', 59, 52, 55, 60, 90, 58, 43, '5')
('21-03-08 00:33:29.66198', 57, 49, 56, 48, 77, 51, 45, '5')
('21-03-08 00:33:29.68658', 54, 49, 56, 53, 77, 59, 49, '5')
('21-03-08 00:33:29.70832', 47, 50, 56, 55, 68, 58, 54, '5')
('21-03-08 00:33:29.73044', 48, 55, 56, 62, 79, 58, 53, '5')
('21-03-08 00:33:29.74632', 47, 54, 52, 64, 79, 58, 56, '5')
('21-03-08 00:33:29.76886', 50, 54, 50, 68, 83, 59, 55, '5')
('21-03-08 00:33:29.79206', 50, 57, 48, 65, 82, 56, 55, '5')
('21-03-08 00:33:29.80567', 55, 56, 52, 69, 81, 56, 50, '5')
('21-03-08 00:33:29.82942', 56, 53, 50, 66, 74, 49, 53, '6')
('21-03-08 00:33:29.85044', 59, 55, 51, 64, 71, 51, 53, '6')
('21-03-08 00:33:29.86518', 60, 55, 55, 65, 71, 49, 52, '5')
('21-03-08 00:33:29.88893', 59, 54, 58, 65, 70, 48, 49, '5')
('21-03-08 00:33:29.91187', 57, 52, 55, 61, 77, 54, 55, '5')
('21-03-08 00:33:29.92626', 54, 52, 55, 59, 77, 59, 53, '6')
('21-03-08 00:33:29.94900', 54, 55, 56, 61, 79, 60, 52, '6')
('21-03-08 00:33:29.97074', 49, 59, 54, 56, 78, 61, 55, '7')
('21-03-08 00:33:29.98490', 54, 56, 55, 55, 74, 58, 57, '6')
('21-03-08 00:33:30.00961', 56, 65, 56, 64, 73, 57, 58, '7')
('21-03-08 00:33:30.03016', 55, 66, 55, 64, 79, 56, 59, '6')
('21-03-08 00:33:30.04492', 60, 63, 55, 75, 84, 53, 60, '6')
('21-03-08 00:33:30.06863', 62, 60, 51, 79, 88, 54, 64, '6')
('21-03-08 00:33:30.09167', 63, 61, 50, 78, 90, 53, 62, '6')
('21-03-08 00:33:30.12140', 63, 55, 48, 74, 89, 48, 57, '6')
('21-03-08 00:33:30.12854', 61, 52, 50, 72, 83, 48, 53, '6')
('21-03-08 00:33:30.15065', 60, 50, 55, 62, 76, 57, 51, '5')
('21-03-08 00:33:30.16615', 62, 51, 55, 55, 70, 56, 43, '6')
('21-03-08 00:33:30.18811', 59, 51, 52, 57, 65, 60, 43, '6')
('21-03-08 00:33:30.21036', 57, 52, 51, 55, 68, 60, 45, '6')
('21-03-08 00:33:30.23299', 61, 56, 53, 54, 65, 58, 50, '6')
('21-03-08 00:33:30.24974', 53, 57, 49, 51, 61, 49, 53, '6')
('21-03-08 00:33:30.27159', 51, 64, 53, 55, 61, 47, 57, '5')
('21-03-08 00:33:30.28482', 53, 68, 58, 58, 75, 50, 58, '5')
('21-03-08 00:33:30.30805', 49, 63, 59, 58, 71, 49, 58, '6')
('21-03-08 00:33:30.33021', 50, 65, 58, 59, 76, 49, 55, '5')
('21-03-08 00:33:30.33059', 50, 65, 58, 59, 76, 49, 55, '5')
